#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
302_c1	0	4	0	4	MIRA							Assembled with MIRA
302_c1	80	80	80	80	H454							No edit. PL: 10 RS: 2 RL: 0 RWTS: 0 EL: 0
302_c1	81	81	81	81	H454							No edit. PL: 10 RS: 2 RL: 0 RWTS: 0 EL: 0
302_c1	128	128	-1	-1	H454							No edit. PL: 0 RS: 3 RL: 1 RWTS: 0 EL: 1
302_c1	134	134	133	133	DGPc							T: 3 *: 2  -  40%
302_c1	134	134	133	133	H454							No edit. PL: 3 RS: 3 RL: 0 RWTS: 0 EL: 0
302_c1	150	150	149	149	ESDN							
302_c1	150	150	149	149	H454							No edit. PL: 4 RS: 4 RL: 0 RWTS: 0 EL: 0
302_c1	157	157	156	156	DGPc							*: 3 T: 2  -  40%
302_c1	157	157	156	156	H454							No edit. PL: 5 RS: 3 RL: 1 RWTS: 0 EL: 1
302_c1	161	161	160	160	ESDN							
302_c1	163	163	162	162	ESDN							
302_c1	163	163	162	162	H454							No edit. PL: 1 RS: 4 RL: 0 RWTS: 0 EL: 0
302_c1	165	165	164	164	ESDN							
302_c1	173	173	172	172	H454							No edit. PL: 3 RS: 5 RL: 0 RWTS: 0 EL: 0
302_c1	216	216	-1	-1	H454							No edit. PL: 5 RS: 6 RL: 2 RWTS: 0 EL: 2
302_c1	217	217	215	215	H454							No edit. PL: 5 RS: 6 RL: 2 RWTS: 0 EL: 2
302_c1	231	231	229	229	H454							No edit. PL: 3 RS: 7 RL: 0 RWTS: 0 EL: 0
302_c1	237	237	235	235	H454							No edit. PL: 1 RS: 8 RL: 0 RWTS: 0 EL: 0
302_c1	238	238	-1	-1	H454							No edit. PL: 3 RS: 8 RL: 1 RWTS: 0 EL: 1
302_c1	256	256	-1	-1	H454							No edit. PL: 1 RS: 7 RL: 1 RWTS: 0 EL: 1
302_c1	257	257	253	253	ESDN							
302_c1	269	269	265	265	ESDN							
302_c1	270	270	-1	-1	H454							Smoking gun  Edit: T PL: 2 RS: 10 RL: 1 RWTS: 0 EL: 1
302_c1	284	284	279	279	H454							Smoking gun  Edit: A PL: 2 RS: 10 RL: 1 RWTS: 0 EL: 1
302_c1	304	304	299	299	H454							No edit. PL: 1 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	313	313	308	308	H454							No edit. PL: 2 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	325	325	-1	-1	H454							No edit. PL: 26 RS: 5 RL: 3 RWTS: 2 EL: 1
302_c1	326	326	320	320	H454							No edit. PL: 26 RS: 5 RL: 3 RWTS: 2 EL: 1
302_c1	327	327	321	321	ESDN							
302_c1	327	327	321	321	H454							No edit. PL: 26 RS: 5 RL: 3 RWTS: 2 EL: 1
302_c1	355	355	349	349	H454							No edit. PL: 2 RS: 13 RL: 0 RWTS: 0 EL: 0
302_c1	361	361	355	355	ESDN							
302_c1	361	361	355	355	H454							No edit. PL: 1 RS: 13 RL: 0 RWTS: 0 EL: 0
302_c1	367	367	361	361	H454							No edit. PL: 1 RS: 13 RL: 0 RWTS: 0 EL: 0
302_c1	371	371	365	365	ESDN							
302_c1	371	371	365	365	H454							No edit. PL: 3 RS: 13 RL: 0 RWTS: 0 EL: 0
302_c1	376	376	-1	-1	H454							Smoking gun  Edit: T PL: 0 RS: 13 RL: 1 RWTS: 0 EL: 1
302_c1	382	382	-1	-1	H454							No edit. PL: 2 RS: 12 RL: 2 RWTS: 0 EL: 2
302_c1	425	425	417	417	ESDN							
302_c1	425	425	417	417	H454							No edit. PL: 1 RS: 15 RL: 0 RWTS: 0 EL: 0
302_c1	460	460	452	452	ESDN							
302_c1	460	460	452	452	H454							No edit. PL: 1 RS: 15 RL: 0 RWTS: 0 EL: 0
302_c1	467	467	459	459	H454							No edit. PL: 1 RS: 15 RL: 0 RWTS: 0 EL: 0
302_c1	472	472	464	464	H454							No edit. PL: 3 RS: 17 RL: 0 RWTS: 0 EL: 0
302_c1	481	481	473	473	H454							No edit. PL: 1 RS: 17 RL: 0 RWTS: 0 EL: 0
302_c1	505	505	-1	-1	H454							No edit. PL: 6 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	506	506	497	497	H454							No edit. PL: 6 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	517	517	508	508	ESDN							
302_c1	517	517	508	508	H454							No edit. PL: 2 RS: 17 RL: 0 RWTS: 0 EL: 0
302_c1	523	523	514	514	H454							No edit. PL: 1 RS: 17 RL: 0 RWTS: 0 EL: 0
302_c1	540	540	531	531	H454							No edit. PL: 3 RS: 15 RL: 0 RWTS: 0 EL: 0
302_c1	542	542	533	533	ESDN							
