#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
302_c1	0	4	0	4	MIRA							Assembled with MIRA
302_c1	37	37	37	37	H454							No edit. PL: 4 RS: 6 RL: 0 RWTS: 0 EL: 0
302_c1	43	43	-1	-1	H454							No edit. PL: 4 RS: 6 RL: 2 RWTS: 0 EL: 2
302_c1	75	75	-1	-1	H454							No edit. PL: 5 RS: 7 RL: 1 RWTS: 0 EL: 1
302_c1	76	76	74	74	H454							No edit. PL: 5 RS: 7 RL: 1 RWTS: 0 EL: 1
302_c1	88	88	-1	-1	H454							No edit. PL: 1 RS: 9 RL: 0 RWTS: 0 EL: 0
302_c1	103	103	-1	-1	H454							No edit. PL: 4 RS: 10 RL: 2 RWTS: 0 EL: 2
302_c1	125	125	121	121	H454							No edit. PL: 1 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	130	130	-1	-1	H454							No edit. PL: 0 RS: 11 RL: 2 RWTS: 0 EL: 2
302_c1	141	141	136	136	H454							No edit. PL: 1 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	148	148	143	143	H454							No edit. PL: 4 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	149	149	144	144	H454							No edit. PL: 4 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	186	186	181	181	H454							No edit. PL: 3 RS: 11 RL: 0 RWTS: 0 EL: 0
302_c1	189	189	184	184	H454							No edit. PL: 3 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	194	194	189	189	H454							No edit. PL: 3 RS: 11 RL: 0 RWTS: 0 EL: 0
302_c1	218	218	213	213	H454							No edit. PL: 1 RS: 13 RL: 0 RWTS: 0 EL: 0
302_c1	280	280	-1	-1	H454							No edit. PL: 3 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	284	284	278	278	H454							No edit. PL: 1 RS: 15 RL: 0 RWTS: 0 EL: 0
302_c1	290	290	284	284	H454							No edit. PL: 2 RS: 16 RL: 0 RWTS: 0 EL: 0
302_c1	309	309	303	303	H454							No edit. PL: 1 RS: 16 RL: 0 RWTS: 0 EL: 0
302_c1	333	333	327	327	H454							No edit. PL: 2 RS: 16 RL: 0 RWTS: 0 EL: 0
302_c1	337	337	-1	-1	H454							No edit. PL: 5 RS: 15 RL: 3 RWTS: 1 EL: 2
302_c1	350	350	343	343	H454							No edit. PL: 1 RS: 19 RL: 0 RWTS: 0 EL: 0
302_c1	380	380	373	373	H454							No edit. PL: 3 RS: 20 RL: 0 RWTS: 0 EL: 0
302_c1	406	406	399	399	H454							No edit. PL: 2 RS: 19 RL: 0 RWTS: 0 EL: 0
302_c1	426	426	-1	-1	H454							No edit. PL: 4 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	427	427	419	419	H454							No edit. PL: 4 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	442	442	-1	-1	H454							No edit. PL: 1 RS: 17 RL: 2 RWTS: 0 EL: 2
302_c1	444	444	435	435	H454							No edit. PL: 1 RS: 18 RL: 0 RWTS: 0 EL: 0
