#
# conName	fromPadded	toPadded	fromUnPadded	toUnPadded	type	SNPqual	qualA	qualC	qualG	qualT	qual*	comment
#
302_c1	0	4	0	4	MIRA							Assembled with MIRA
302_c1	107	107	107	107	H454							No edit. PL: 2 RS: 2 RL: 0 RWTS: 0 EL: 0
302_c1	139	139	139	139	DGPc							A: 3 *: 2  -  40%
302_c1	139	139	139	139	H454							No edit. PL: 2 RS: 3 RL: 0 RWTS: 0 EL: 0
302_c1	166	166	166	166	ESDN							
302_c1	166	166	166	166	H454							No edit. PL: 6 RS: 5 RL: 0 RWTS: 0 EL: 0
302_c1	239	239	239	239	H454							No edit. PL: 1 RS: 7 RL: 0 RWTS: 0 EL: 0
302_c1	253	253	-1	-1	H454							No edit. PL: 4 RS: 7 RL: 1 RWTS: 0 EL: 1
302_c1	312	312	311	311	H454							No edit. PL: 1 RS: 10 RL: 0 RWTS: 0 EL: 0
302_c1	324	324	-1	-1	H454							No edit. PL: 3 RS: 9 RL: 2 RWTS: 0 EL: 2
302_c1	399	399	397	397	H454							No edit. PL: 5 RS: 11 RL: 0 RWTS: 0 EL: 0
302_c1	404	404	402	402	H454							No edit. PL: 2 RS: 11 RL: 0 RWTS: 0 EL: 0
302_c1	466	466	464	464	H454							No edit. PL: 4 RS: 14 RL: 0 RWTS: 0 EL: 0
302_c1	503	503	-1	-1	H454							No edit. PL: 3 RS: 15 RL: 2 RWTS: 0 EL: 2
302_c1	517	517	-1	-1	H454							No edit. PL: 2 RS: 15 RL: 3 RWTS: 0 EL: 3
302_c1	530	530	526	526	H454							No edit. PL: 2 RS: 16 RL: 0 RWTS: 0 EL: 0
302_c1	539	539	-1	-1	H454							No edit. PL: 5 RS: 12 RL: 3 RWTS: 0 EL: 3
302_c1	540	540	535	535	H454							No edit. PL: 5 RS: 12 RL: 3 RWTS: 0 EL: 3
302_c1	568	568	-1	-1	H454							No edit. PL: 4 RS: 12 RL: 2 RWTS: 0 EL: 2
302_c1	569	569	563	563	H454							No edit. PL: 4 RS: 12 RL: 2 RWTS: 0 EL: 2
302_c1	576	576	570	570	H454							No edit. PL: 3 RS: 15 RL: 0 RWTS: 0 EL: 0
302_c1	595	595	-1	-1	H454							No edit. PL: 5 RS: 14 RL: 3 RWTS: 0 EL: 3
302_c1	606	606	599	599	H454							No edit. PL: 5 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	610	610	603	603	H454							No edit. PL: 5 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	611	611	-1	-1	H454							No edit. PL: 3 RS: 15 RL: 2 RWTS: 1 EL: 1
302_c1	664	664	-1	-1	H454							No edit. PL: 7 RS: 9 RL: 5 RWTS: 0 EL: 5
302_c1	665	665	656	656	H454							No edit. PL: 7 RS: 9 RL: 5 RWTS: 0 EL: 5
302_c1	741	741	-1	-1	H454							No edit. PL: 1 RS: 13 RL: 0 RWTS: 0 EL: 0
302_c1	748	748	-1	-1	H454							No edit. PL: 3 RS: 9 RL: 4 RWTS: 1 EL: 3
302_c1	761	761	-1	-1	H454							No edit. PL: 3 RS: 11 RL: 2 RWTS: 0 EL: 2
302_c1	792	792	780	780	H454							No edit. PL: 5 RS: 12 RL: 0 RWTS: 0 EL: 0
302_c1	813	813	801	801	ESDN							
302_c1	813	813	801	801	H454							No edit. PL: 1 RS: 16 RL: 0 RWTS: 0 EL: 0
302_c1	814	814	-1	-1	H454							Funny histogram No edit. PL: 3 RS: 14 RL: 3 RWTS: 0 EL: 3
302_c1	833	833	-1	-1	H454							No edit. PL: 5 RS: 16 RL: 2 RWTS: 0 EL: 2
302_c1	866	866	-1	-1	H454							No edit. PL: 4 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	867	867	852	852	H454							No edit. PL: 4 RS: 14 RL: 2 RWTS: 0 EL: 2
302_c1	900	900	-1	-1	H454							No edit. PL: 4 RS: 15 RL: 2 RWTS: 0 EL: 2
302_c1	952	952	936	936	H454							No edit. PL: 4 RS: 16 RL: 0 RWTS: 0 EL: 0
302_c1	966	966	-1	-1	H454							No edit. PL: 6 RS: 14 RL: 3 RWTS: 1 EL: 2
302_c1	967	967	950	950	H454							No edit. PL: 6 RS: 14 RL: 3 RWTS: 1 EL: 2
302_c1	973	973	956	956	ESDN							
302_c1	995	995	-1	-1	H454							No edit. PL: 3 RS: 15 RL: 3 RWTS: 0 EL: 3
302_c1	996	996	978	978	H454							No edit. PL: 3 RS: 15 RL: 3 RWTS: 0 EL: 3
302_c1	1002	1002	-1	-1	H454							No edit. PL: 2 RS: 18 RL: 2 RWTS: 0 EL: 2
302_c1	1008	1008	989	989	H454							No edit. PL: 3 RS: 19 RL: 0 RWTS: 0 EL: 0
302_c1	1013	1013	-1	-1	H454							No edit. PL: 5 RS: 17 RL: 4 RWTS: 0 EL: 4
302_c1	1038	1038	1018	1018	H454							No edit. PL: 3 RS: 20 RL: 0 RWTS: 0 EL: 0
302_c1	1047	1047	1027	1027	H454							No edit. PL: 2 RS: 20 RL: 0 RWTS: 0 EL: 0
302_c1	1057	1057	-1	-1	H454							No edit. PL: 4 RS: 17 RL: 2 RWTS: 0 EL: 2
302_c1	1058	1058	1037	1037	H454							No edit. PL: 4 RS: 17 RL: 2 RWTS: 0 EL: 2
302_c1	1090	1090	-1	-1	H454							No edit. PL: 3 RS: 17 RL: 2 RWTS: 0 EL: 2
302_c1	1091	1091	1069	1069	H454							No edit. PL: 3 RS: 17 RL: 2 RWTS: 0 EL: 2
302_c1	1103	1103	1081	1081	H454							No edit. PL: 2 RS: 20 RL: 0 RWTS: 0 EL: 0
